#
#
# US Geological Survey, Water Resources Data
# retrieved: 2024-04-11 14:11:25 EDT      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09402300 LITTLE COLORADO RIVER ABV MOUTH NR DESERT VIEW, AZ
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		5315	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09402300	00060	5315	2005	1	1454
USGS	09402300	00060	5315	2005	2	2092
USGS	09402300	00060	5315	2005	3	1034
USGS	09402300	00060	5315	2005	4	614.8
USGS	09402300	00060	5315	2005	5	282.5
USGS	09402300	00060	5315	2005	6	218.8
USGS	09402300	00060	5315	2005	7	219.1
USGS	09402300	00060	5315	2005	8	492.8
USGS	09402300	00060	5315	2005	9	241.4
USGS	09402300	00060	5315	2005	10	246.2
USGS	09402300	00060	5315	2005	11	222.1
USGS	09402300	00060	5315	2005	12	220.1
USGS	09402300	00060	5315	2006	1	217.4
USGS	09402300	00060	5315	2006	2	220.3
USGS	09402300	00060	5315	2006	3	223.5
USGS	09402300	00060	5315	2006	4	219.3
USGS	09402300	00060	5315	2006	5	216.4
USGS	09402300	00060	5315	2006	6	220.3
USGS	09402300	00060	5315	2006	7	296.5
USGS	09402300	00060	5315	2006	8	1064
USGS	09402300	00060	5315	2006	9	400.5
USGS	09402300	00060	5315	2006	10	645.4
USGS	09402300	00060	5315	2006	11	223.5
USGS	09402300	00060	5315	2006	12	220.4
USGS	09402300	00060	5315	2007	1	221
USGS	09402300	00060	5315	2007	2	292.7
USGS	09402300	00060	5315	2007	3	346.3
USGS	09402300	00060	5315	2007	4	238.6
USGS	09402300	00060	5315	2007	5	238.9
USGS	09402300	00060	5315	2007	6	221.7
USGS	09402300	00060	5315	2007	7	410.3
USGS	09402300	00060	5315	2007	8	1108
USGS	09402300	00060	5315	2007	9	280.1
USGS	09402300	00060	5315	2007	10	227
USGS	09402300	00060	5315	2007	11	228.1
USGS	09402300	00060	5315	2007	12	653.8
USGS	09402300	00060	5315	2008	1	498.5
USGS	09402300	00060	5315	2008	2	1412
USGS	09402300	00060	5315	2008	3	1267
USGS	09402300	00060	5315	2008	4	535.4
USGS	09402300	00060	5315	2008	5	231.6
USGS	09402300	00060	5315	2008	6	226.2
USGS	09402300	00060	5315	2008	7	373.3
USGS	09402300	00060	5315	2008	8	386.1
USGS	09402300	00060	5315	2008	9	306
USGS	09402300	00060	5315	2008	10	210
USGS	09402300	00060	5315	2008	11	211.9
USGS	09402300	00060	5315	2008	12	224.8
USGS	09402300	00060	5315	2009	1	236.6
USGS	09402300	00060	5315	2009	2	289
USGS	09402300	00060	5315	2009	3	852.1
USGS	09402300	00060	5315	2009	4	257
USGS	09402300	00060	5315	2009	5	277
USGS	09402300	00060	5315	2009	6	216.8
USGS	09402300	00060	5315	2009	7	229.6
USGS	09402300	00060	5315	2009	8	218
USGS	09402300	00060	5315	2009	9	245.7
USGS	09402300	00060	5315	2009	10	218.6
USGS	09402300	00060	5315	2009	11	218.9
USGS	09402300	00060	5315	2009	12	223.3
USGS	09402300	00060	5315	2010	1	407.6
USGS	09402300	00060	5315	2010	2	306.4
USGS	09402300	00060	5315	2010	3	880.5
USGS	09402300	00060	5315	2010	4	1471
USGS	09402300	00060	5315	2010	5	307.9
USGS	09402300	00060	5315	2010	6	207.9
USGS	09402300	00060	5315	2010	7	352.6
USGS	09402300	00060	5315	2010	8	1232
USGS	09402300	00060	5315	2010	9	522.7
USGS	09402300	00060	5315	2010	10	349.8
USGS	09402300	00060	5315	2010	11	227.7
USGS	09402300	00060	5315	2010	12	233.5
USGS	09402300	00060	5315	2011	1	227.1
USGS	09402300	00060	5315	2011	2	233.2
USGS	09402300	00060	5315	2011	3	469.9
USGS	09402300	00060	5315	2011	4	303
USGS	09402300	00060	5315	2011	5	213.5
USGS	09402300	00060	5315	2011	6	210.6
USGS	09402300	00060	5315	2011	7	247.3
USGS	09402300	00060	5315	2011	8	318.6
USGS	09402300	00060	5315	2011	9	511.3
USGS	09402300	00060	5315	2011	10	238.3
USGS	09402300	00060	5315	2011	11	237.3
USGS	09402300	00060	5315	2011	12	279.8
USGS	09402300	00060	5315	2012	1	222.2
USGS	09402300	00060	5315	2012	2	220.5
USGS	09402300	00060	5315	2012	3	271.5
USGS	09402300	00060	5315	2012	4	268
USGS	09402300	00060	5315	2012	5	221.7
USGS	09402300	00060	5315	2012	6	221
USGS	09402300	00060	5315	2012	7	362.4
USGS	09402300	00060	5315	2012	8	746.7
USGS	09402300	00060	5315	2012	9	516.4
USGS	09402300	00060	5315	2012	10	214.7
USGS	09402300	00060	5315	2012	11	212.7
USGS	09402300	00060	5315	2012	12	213.3
USGS	09402300	00060	5315	2013	1	278.6
USGS	09402300	00060	5315	2013	2	410.6
USGS	09402300	00060	5315	2013	3	700.4
USGS	09402300	00060	5315	2013	4	352.5
USGS	09402300	00060	5315	2013	5	223.8
USGS	09402300	00060	5315	2013	6	221.2
USGS	09402300	00060	5315	2013	7	811.8
USGS	09402300	00060	5315	2013	8	712
USGS	09402300	00060	5315	2013	9	875.3
USGS	09402300	00060	5315	2013	10	217.2
USGS	09402300	00060	5315	2013	11	522.1
USGS	09402300	00060	5315	2013	12	232.5
USGS	09402300	00060	5315	2014	1	217.8
USGS	09402300	00060	5315	2014	2	216
USGS	09402300	00060	5315	2014	3	311.5
USGS	09402300	00060	5315	2014	4	220
USGS	09402300	00060	5315	2014	5	216.4
USGS	09402300	00060	5315	2014	6	216.8
USGS	09402300	00060	5315	2014	7	305.3
USGS	09402300	00060	5315	2014	8	378.4
USGS	09402300	00060	5315	2014	9	309.7
USGS	09402300	00060	5315	2014	10	457.3
USGS	09402300	00060	5315	2014	11	210.7
USGS	09402300	00060	5315	2014	12	314.6
USGS	09402300	00060	5315	2015	1	264.1
USGS	09402300	00060	5315	2015	2	455.9
USGS	09402300	00060	5315	2015	3	492.4
USGS	09402300	00060	5315	2015	4	214.7
USGS	09402300	00060	5315	2015	5	215.1
USGS	09402300	00060	5315	2015	6	219.8
USGS	09402300	00060	5315	2015	7	461.2
USGS	09402300	00060	5315	2015	8	522.1
USGS	09402300	00060	5315	2015	9	368.7
USGS	09402300	00060	5315	2015	10	487.2
USGS	09402300	00060	5315	2015	11	261.1
USGS	09402300	00060	5315	2015	12	225.1
USGS	09402300	00060	5315	2016	1	243.6
USGS	09402300	00060	5315	2016	2	495.3
USGS	09402300	00060	5315	2016	3	310.8
USGS	09402300	00060	5315	2016	4	215.2
USGS	09402300	00060	5315	2016	5	218.2
USGS	09402300	00060	5315	2016	6	216.7
USGS	09402300	00060	5315	2016	7	222.2
USGS	09402300	00060	5315	2016	8	463.2
USGS	09402300	00060	5315	2016	9	232.1
USGS	09402300	00060	5315	2016	10	286
USGS	09402300	00060	5315	2016	11	310.8
USGS	09402300	00060	5315	2016	12	418.6
USGS	09402300	00060	5315	2017	1	577.1
USGS	09402300	00060	5315	2017	2	938.8
USGS	09402300	00060	5315	2017	3	934.5
USGS	09402300	00060	5315	2017	4	275.2
USGS	09402300	00060	5315	2017	5	218.8
USGS	09402300	00060	5315	2017	6	221.2
USGS	09402300	00060	5315	2017	7	413.9
USGS	09402300	00060	5315	2017	8	460.4
USGS	09402300	00060	5315	2017	9	226.6
USGS	09402300	00060	5315	2017	10	234.3
USGS	09402300	00060	5315	2017	11	223.4
USGS	09402300	00060	5315	2017	12	223.5
USGS	09402300	00060	5315	2018	1	222.5
USGS	09402300	00060	5315	2018	2	220.6
USGS	09402300	00060	5315	2018	3	220.3
USGS	09402300	00060	5315	2018	4	220
USGS	09402300	00060	5315	2018	5	218.4
USGS	09402300	00060	5315	2018	6	217.8
USGS	09402300	00060	5315	2018	7	560.6
USGS	09402300	00060	5315	2018	8	364.8
USGS	09402300	00060	5315	2018	9	531.7
USGS	09402300	00060	5315	2018	10	919.3
USGS	09402300	00060	5315	2018	11	243.7
USGS	09402300	00060	5315	2018	12	226.4
USGS	09402300	00060	5315	2019	1	265.7
USGS	09402300	00060	5315	2019	2	909
USGS	09402300	00060	5315	2019	3	1667
USGS	09402300	00060	5315	2019	4	501.8
USGS	09402300	00060	5315	2019	5	230.4
USGS	09402300	00060	5315	2019	6	221.6
USGS	09402300	00060	5315	2019	7	225.1
USGS	09402300	00060	5315	2019	8	248.4
USGS	09402300	00060	5315	2019	9	280.5
USGS	09402300	00060	5315	2019	10	234.3
USGS	09402300	00060	5315	2019	11	279.9
USGS	09402300	00060	5315	2019	12	482.5
USGS	09402300	00060	5315	2020	1	257
USGS	09402300	00060	5315	2020	2	464.5
USGS	09402300	00060	5315	2020	3	964.1
USGS	09402300	00060	5315	2020	4	452.2
USGS	09402300	00060	5315	2020	5	222.8
USGS	09402300	00060	5315	2020	6	219.2
USGS	09402300	00060	5315	2020	7	218.8
USGS	09402300	00060	5315	2020	8	219.8
USGS	09402300	00060	5315	2020	9	217.1
USGS	09402300	00060	5315	2020	10	215.5
USGS	09402300	00060	5315	2020	11	221.8
USGS	09402300	00060	5315	2020	12	225.1
USGS	09402300	00060	5315	2021	1	223.7
USGS	09402300	00060	5315	2021	2	224.6
USGS	09402300	00060	5315	2021	3	224.3
USGS	09402300	00060	5315	2021	4	221.6
USGS	09402300	00060	5315	2021	5	218.6
USGS	09402300	00060	5315	2021	6	217.2
USGS	09402300	00060	5315	2021	7	763.1
USGS	09402300	00060	5315	2021	8	687.9
USGS	09402300	00060	5315	2021	9	269.4
