Year,Reach,Species,Total_Length
2014,2,Humpback Chub,325
2014,2,Humpback Chub,330
2014,2,Humpback Chub,333
2014,2,Humpback Chub,336
2014,2,Humpback Chub,339
2014,2,Humpback Chub,356
2014,2,Humpback Chub,361
2014,2,Humpback Chub,364
2014,2,Humpback Chub,365
2014,2,Humpback Chub,49
2014,2,Humpback Chub,49
2014,2,Humpback Chub,62
2014,2,Humpback Chub,43
2014,2,Humpback Chub,49
2014,2,Humpback Chub,50
2014,2,Humpback Chub,44
2014,2,Humpback Chub,47
2014,2,Humpback Chub,47
2014,2,Humpback Chub,48
2014,2,Humpback Chub,49
2014,2,Humpback Chub,50
2014,2,Humpback Chub,51
2014,2,Humpback Chub,55
2014,2,Humpback Chub,56
2014,2,Humpback Chub,58
2014,2,Humpback Chub,59
2014,2,Humpback Chub,62
2014,2,Humpback Chub,45
2014,2,Humpback Chub,50
2014,2,Humpback Chub,50
2014,2,Humpback Chub,42
2014,2,Humpback Chub,47
2014,2,Humpback Chub,53
2014,2,Humpback Chub,49
2014,2,Humpback Chub,52
2014,2,Humpback Chub,381
2014,2,Humpback Chub,87
2014,2,Humpback Chub,110
2014,2,Humpback Chub,47
2014,2,Humpback Chub,54
2014,2,Humpback Chub,51
2014,2,Humpback Chub,55
2014,2,Humpback Chub,148
2014,2,Humpback Chub,172
2014,2,Humpback Chub,89
2014,2,Humpback Chub,45
2014,2,Humpback Chub,50
2014,2,Humpback Chub,103
2014,2,Humpback Chub,45
2014,2,Humpback Chub,51
2014,2,Humpback Chub,51
2014,2,Humpback Chub,159
2014,2,Humpback Chub,267
2014,2,Humpback Chub,373
2014,2,Humpback Chub,101
2014,2,Humpback Chub,136
2014,2,Humpback Chub,173
2014,2,Humpback Chub,129
2014,2,Humpback Chub,81
2014,2,Humpback Chub,85
2014,2,Humpback Chub,245
2014,2,Humpback Chub,360
2014,2,Humpback Chub,377
2014,2,Humpback Chub,388
2014,3,Humpback Chub,46
2014,3,Humpback Chub,39
2014,3,Humpback Chub,46
2014,3,Humpback Chub,48
2014,3,Humpback Chub,46
2014,3,Humpback Chub,50
2014,3,Humpback Chub,57
2014,3,Humpback Chub,48
2014,3,Humpback Chub,42
2014,3,Humpback Chub,47
2014,3,Humpback Chub,52
2014,3,Humpback Chub,52
2014,3,Humpback Chub,36
2014,3,Humpback Chub,43
2014,3,Humpback Chub,46
2014,3,Humpback Chub,47
2014,3,Humpback Chub,46
2014,3,Humpback Chub,45
2014,3,Humpback Chub,45
2014,3,Humpback Chub,46
2014,3,Humpback Chub,51
2014,3,Humpback Chub,51
2014,3,Humpback Chub,45
2014,3,Humpback Chub,100
2014,3,Humpback Chub,39
2014,3,Humpback Chub,37
2014,3,Humpback Chub,50
2015,2,Humpback Chub,97
2015,2,Humpback Chub,95
2015,2,Humpback Chub,98
2015,2,Humpback Chub,111
2015,2,Humpback Chub,99
2015,2,Humpback Chub,90
2015,2,Humpback Chub,124
2015,2,Humpback Chub,136
2015,2,Humpback Chub,171
2015,2,Humpback Chub,88
2015,2,Humpback Chub,89
2015,2,Humpback Chub,105
2015,2,Humpback Chub,97
2015,2,Humpback Chub,98
2015,2,Humpback Chub,99
2015,2,Humpback Chub,102
2015,2,Humpback Chub,107
2015,2,Humpback Chub,89
2015,2,Humpback Chub,92
2015,2,Humpback Chub,92
2015,2,Humpback Chub,93
2015,2,Humpback Chub,94
2015,2,Humpback Chub,94
2015,2,Humpback Chub,110
2015,2,Humpback Chub,114
2015,2,Humpback Chub,125
2015,2,Humpback Chub,103
2015,2,Humpback Chub,109
2015,2,Humpback Chub,188
2015,2,Humpback Chub,102
2015,2,Humpback Chub,104
2015,2,Humpback Chub,119
2015,2,Humpback Chub,124
2015,2,Humpback Chub,124
2015,2,Humpback Chub,275
2015,2,Humpback Chub,123
2015,2,Humpback Chub,134
2015,2,Humpback Chub,117
2015,2,Humpback Chub,90
2015,2,Humpback Chub,98
2015,2,Humpback Chub,103
2015,2,Humpback Chub,97
2015,2,Humpback Chub,100
2015,2,Humpback Chub,135
2015,2,Humpback Chub,110
2015,2,Humpback Chub,100
2015,2,Humpback Chub,100
2015,2,Humpback Chub,105
2015,2,Humpback Chub,110
2015,2,Humpback Chub,110
2015,2,Humpback Chub,142
2015,2,Humpback Chub,153
2015,2,Humpback Chub,87
2015,2,Humpback Chub,95
2015,2,Humpback Chub,104
2015,2,Humpback Chub,110
2015,2,Humpback Chub,86
2015,2,Humpback Chub,90
2015,2,Humpback Chub,90
2015,2,Humpback Chub,93
2015,2,Humpback Chub,93
2015,2,Humpback Chub,106
2015,2,Humpback Chub,85
2015,2,Humpback Chub,99
2015,2,Humpback Chub,108
2015,2,Humpback Chub,95
2015,2,Humpback Chub,98
2015,2,Humpback Chub,103
2015,2,Humpback Chub,105
2015,2,Humpback Chub,106
2015,2,Humpback Chub,115
2015,2,Humpback Chub,93
2015,2,Humpback Chub,119
2015,2,Humpback Chub,174
2015,2,Humpback Chub,157
2015,2,Humpback Chub,177
2015,2,Humpback Chub,102
2015,2,Humpback Chub,110
2015,2,Humpback Chub,79
2015,2,Humpback Chub,89
2015,2,Humpback Chub,91
2015,2,Humpback Chub,120
2015,3,Humpback Chub,226
2015,3,Humpback Chub,82
2015,3,Humpback Chub,101
2015,3,Humpback Chub,117
2015,3,Humpback Chub,181
2015,3,Humpback Chub,204
2015,3,Humpback Chub,118
2015,3,Humpback Chub,135
2015,3,Humpback Chub,102
2015,3,Humpback Chub,109
2015,3,Humpback Chub,204
2015,3,Humpback Chub,96
2015,3,Humpback Chub,105
2015,3,Humpback Chub,90
2015,3,Humpback Chub,86
2016,2,Humpback Chub,188
2016,2,Humpback Chub,189
2016,2,Humpback Chub,210
2016,2,Humpback Chub,212
2016,2,Humpback Chub,215
2016,2,Humpback Chub,255
2016,2,Humpback Chub,215
2016,2,Humpback Chub,305
2016,2,Humpback Chub,167
2016,2,Humpback Chub,176
2016,2,Humpback Chub,176
2016,2,Humpback Chub,179
2016,2,Humpback Chub,180
2016,2,Humpback Chub,182
2016,2,Humpback Chub,192
2016,2,Humpback Chub,195
2016,2,Humpback Chub,195
2016,2,Humpback Chub,196
2016,2,Humpback Chub,200
2016,2,Humpback Chub,208
2016,2,Humpback Chub,210
2016,2,Humpback Chub,212
2016,2,Humpback Chub,225
2016,2,Humpback Chub,225
2016,2,Humpback Chub,233
2016,2,Humpback Chub,236
2016,2,Humpback Chub,109
2016,2,Humpback Chub,194
2016,2,Humpback Chub,190
2016,2,Humpback Chub,208
2016,2,Humpback Chub,225
2016,2,Humpback Chub,191
2016,2,Humpback Chub,186
2016,2,Humpback Chub,162
2016,2,Humpback Chub,361
2016,2,Humpback Chub,205
2016,2,Humpback Chub,231
2016,2,Humpback Chub,253
2016,2,Humpback Chub,330
2016,2,Humpback Chub,185
2016,2,Humpback Chub,224
2016,2,Humpback Chub,152
2016,2,Humpback Chub,178
2016,2,Humpback Chub,180
2016,2,Humpback Chub,146
2016,2,Humpback Chub,152
2016,2,Humpback Chub,180
2016,2,Humpback Chub,198
2016,2,Humpback Chub,212
2016,2,Humpback Chub,220
2016,2,Humpback Chub,157
2016,2,Humpback Chub,165
2016,2,Humpback Chub,174
2016,2,Humpback Chub,182
2016,2,Humpback Chub,165
2016,2,Humpback Chub,183
2016,2,Humpback Chub,197
2016,2,Humpback Chub,201
2016,2,Humpback Chub,204
2016,2,Humpback Chub,221
2016,2,Humpback Chub,165
2016,2,Humpback Chub,182
2016,2,Humpback Chub,191
2016,2,Humpback Chub,191
2016,2,Humpback Chub,195
2016,2,Humpback Chub,205
2016,2,Humpback Chub,263
2016,2,Humpback Chub,271
2016,2,Humpback Chub,336
2016,2,Humpback Chub,173
2016,2,Humpback Chub,189
2016,2,Humpback Chub,194
2016,2,Humpback Chub,260
2016,2,Humpback Chub,137
2016,2,Humpback Chub,143
2016,2,Humpback Chub,152
2016,2,Humpback Chub,153
2016,2,Humpback Chub,200
2016,2,Humpback Chub,100
2016,2,Humpback Chub,161
2016,2,Humpback Chub,176
2016,2,Humpback Chub,190
2016,2,Humpback Chub,204
2016,2,Humpback Chub,221
2016,2,Humpback Chub,223
2016,2,Humpback Chub,195
2016,2,Humpback Chub,214
2016,2,Humpback Chub,153
2016,2,Humpback Chub,156
2016,2,Humpback Chub,188
2016,2,Humpback Chub,190
2016,2,Humpback Chub,203
2016,2,Humpback Chub,177
2016,2,Humpback Chub,190
2016,2,Humpback Chub,193
2016,2,Humpback Chub,200
2016,2,Humpback Chub,182
2016,2,Humpback Chub,174
2016,2,Humpback Chub,177
2016,2,Humpback Chub,194
2016,2,Humpback Chub,201
2016,2,Humpback Chub,179
2016,2,Humpback Chub,192
2016,2,Humpback Chub,196
2016,2,Humpback Chub,218
2016,2,Humpback Chub,177
2016,2,Humpback Chub,187
2016,2,Humpback Chub,160
2016,2,Humpback Chub,196
2016,2,Humpback Chub,203
2016,2,Humpback Chub,312
2016,2,Humpback Chub,175
2016,2,Humpback Chub,185
2016,2,Humpback Chub,185
2016,2,Humpback Chub,198
