#
#
# US Geological Survey, Water Resources Data
# retrieved: 2024-04-11 14:12:21 EDT      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09403850 KANAB CREEK ABOVE THE MOUTH NEAR SUPAI, AZ
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		5352	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09403850	00060	5352	2010	9	3.51
USGS	09403850	00060	5352	2010	10	5.61
USGS	09403850	00060	5352	2010	11	3.95
USGS	09403850	00060	5352	2010	12	98.8
USGS	09403850	00060	5352	2011	1	74
USGS	09403850	00060	5352	2011	2	129.2
USGS	09403850	00060	5352	2011	3	29.5
USGS	09403850	00060	5352	2011	4	10.6
USGS	09403850	00060	5352	2011	5	4.61
USGS	09403850	00060	5352	2011	6	4.22
USGS	09403850	00060	5352	2011	7	11
USGS	09403850	00060	5352	2011	8	7.42
USGS	09403850	00060	5352	2011	9	4.34
USGS	09403850	00060	5352	2011	10	4.59
USGS	09403850	00060	5352	2011	11	4.4
USGS	09403850	00060	5352	2011	12	3.86
USGS	09403850	00060	5352	2012	1	3.94
USGS	09403850	00060	5352	2012	3	4.35
USGS	09403850	00060	5352	2012	4	3.02
USGS	09403850	00060	5352	2012	5	2.79
USGS	09403850	00060	5352	2012	6	2.66
USGS	09403850	00060	5352	2012	7	20.3
USGS	09403850	00060	5352	2012	8	12.9
USGS	09403850	00060	5352	2012	9	10.7
USGS	09403850	00060	5352	2012	10	3.77
USGS	09403850	00060	5352	2012	11	3.78
USGS	09403850	00060	5352	2012	12	3.7
USGS	09403850	00060	5352	2013	1	3.64
USGS	09403850	00060	5352	2013	2	3.87
USGS	09403850	00060	5352	2013	3	3.86
USGS	09403850	00060	5352	2013	4	3.61
USGS	09403850	00060	5352	2013	5	3.43
USGS	09403850	00060	5352	2013	6	3.15
USGS	09403850	00060	5352	2013	7	16.3
USGS	09403850	00060	5352	2013	8	80.9
USGS	09403850	00060	5352	2013	9	59.4
USGS	09403850	00060	5352	2013	10	6.31
USGS	09403850	00060	5352	2013	11	3.88
USGS	09403850	00060	5352	2013	12	3.69
USGS	09403850	00060	5352	2014	1	3.43
USGS	09403850	00060	5352	2014	2	3.26
USGS	09403850	00060	5352	2014	3	5.23
USGS	09403850	00060	5352	2014	4	3.98
USGS	09403850	00060	5352	2014	5	3.75
USGS	09403850	00060	5352	2014	6	3.51
USGS	09403850	00060	5352	2014	7	4.16
USGS	09403850	00060	5352	2014	8	25
USGS	09403850	00060	5352	2014	9	51.6
USGS	09403850	00060	5352	2014	10	4.81
USGS	09403850	00060	5352	2014	11	3.71
USGS	09403850	00060	5352	2014	12	4.84
USGS	09403850	00060	5352	2015	1	4.11
USGS	09403850	00060	5352	2015	2	7.04
USGS	09403850	00060	5352	2015	3	26.6
USGS	09403850	00060	5352	2015	4	4.74
USGS	09403850	00060	5352	2015	5	8.24
USGS	09403850	00060	5352	2015	6	8.58
USGS	09403850	00060	5352	2015	7	37
USGS	09403850	00060	5352	2015	8	40.7
USGS	09403850	00060	5352	2015	9	11.9
USGS	09403850	00060	5352	2015	10	36.1
USGS	09403850	00060	5352	2015	11	7.09
USGS	09403850	00060	5352	2015	12	4.02
USGS	09403850	00060	5352	2016	1	5.2
USGS	09403850	00060	5352	2016	2	4.02
USGS	09403850	00060	5352	2016	3	4.04
USGS	09403850	00060	5352	2016	4	4.02
USGS	09403850	00060	5352	2016	5	3.88
USGS	09403850	00060	5352	2016	6	3.79
USGS	09403850	00060	5352	2016	7	3.97
USGS	09403850	00060	5352	2016	8	8.2
