site,ind,mtemp,L1,deltaL_obs,deltaT
LCR_res,1,-1.867786701,13.6,2.4,0.660273973
LCR_res,1,-0.479302287,16,3,0.978082192
LCR_res,1,0.941140616,19,2,0.460273973
LCR_res,1,-0.493371878,21,0,0.005479452
LCR_res,2,1.23801227,24,2.9,0.364383562
LCR_res,2,-0.072201978,26.9,0.8,0.082191781
LCR_res,3,1.252759306,20.8,6.4,0.345205479
LCR_res,4,-0.060209969,28,0,0.076712329
LCR_res,5,-0.060209969,28.9,-0.1,0.076712329
LCR_res,6,-0.32111061,23.7,0,0.076712329
LCR_res,6,0.835857638,23.7,-0.3,0.002739726
LCR_res,6,1.245113632,23.4,0.2,0.35890411
LCR_res,6,0.569187547,23.6,0.2,0.005479452
LCR_res,7,-0.060209969,16,0.3,0.076712329
LCR_res,8,1.23801227,11.4,3.2,0.364383562
LCR_res,8,0.705645647,14.6,0,0.002739726
LCR_res,9,-0.060209969,17,0.2,0.076712329
LCR_res,10,-0.694862092,14.5,6.9,1.090410959
LCR_res,10,-1.752802068,21.4,0.6,0.539726027
LCR_res,10,1.146101054,22,3,0.380821918
LCR_res,11,-0.069515089,28.6,-0.1,0.079452055
LCR_res,11,-0.147992397,28.5,-0.1,0.002739726
LCR_res,12,-0.302199131,20.2,-0.1,0.082191781
LCR_res,12,1.245113632,20.1,1.5,0.35890411
LCR_res,12,0.569187547,21.6,0.1,0.005479452
LCR_res,13,-0.072201978,26.5,-0.7,0.082191781
LCR_res,15,-0.334789902,22.9,0.1,0.071232877
LCR_res,15,1.23801227,23,0,0.364383562
LCR_res,15,-0.069515089,23,-0.1,0.079452055
LCR_res,16,0.956827878,12.1,4.2,0.44109589
LCR_res,16,-0.060209969,16.3,0.4,0.076712329
LCR_res,17,0.956827878,14,4.8,0.44109589
LCR_res,18,-0.072201978,26.5,0.2,0.082191781
LCR_res,19,0.968491568,27.9,0.2,0.438356164
LCR_res,19,-0.072201978,28.1,0,0.082191781
LCR_res,20,1.245113632,18.1,3.1,0.35890411
LCR_res,20,0.569187547,21.2,-0.4,0.005479452
LCR_res,20,-0.116774285,20.8,-0.3,0.073972603
LCR_res,21,-0.703820275,17.9,2.6,1.079452055
LCR_res,22,-0.072201978,24.6,0.2,0.082191781
LCR_res,23,1.234024084,10.1,3.9,0.367123288
LCR_res,24,0.434225778,13.5,0.1,0.002739726
LCR_res,25,1.246730501,23,1.6,0.350684932
LCR_res,25,-0.60638032,24.6,7.5,2.087671233
LCR_res,26,0.955265182,11.5,5.7,0.443835616
LCR_res,27,-1.871760682,20.2,0.3,0.660273973
LCR_res,27,-0.476403962,20.5,3,0.978082192
LCR_res,27,0.071568785,23.5,3.2,1.35890411
LCR_res,28,1.241011194,22.6,0.5,0.361643836
LCR_res,29,1.241011194,30.5,0.7,0.361643836
LCR_res,29,-1.836824756,31.2,0.2,0.671232877
LCR_res,30,-0.088478409,17,0.8,0.073972603
LCR_res,31,1.241011194,13.7,1.8,0.361643836
LCR_res,32,1.241011194,20.2,1.7,0.361643836
LCR_res,33,-0.088478409,25.6,-0.2,0.073972603
LCR_res,33,-1.02618313,25.4,2.4,1.638356164
LCR_res,34,0.966846705,11.2,3.8,0.44109589
LCR_res,35,1.237983243,25,0.5,0.364383562
LCR_res,36,0.966846705,18.2,2.3,0.44109589
LCR_res,36,-1.657170738,20.5,0.7,0.723287671
