ch_col1,ch_col2,ch_col3,ch_col4,ch_col5,ch_col6,ch_col7,ch_col8,ch_col9,ch_col10,ch_col11,ch_col12,ch_col13,ch_col14,ch_col15,ch_col16,ch_col17,ch_col18,ch_col19,ch_col20,ch_col21,ch_col22,ch_col23,ch_col24,ch_col25,ch_col26,ch_col27,ch_col28,ch_col29,ch_col30,ch_col31,ch_col32,ch_col33,ch_col34,ch_col35,ch_col36,ch_col37,ch_col38,ch_col39,ch_col40,ch_col41,ch_col42,sumf,suml,sumFR,newtag
1,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,42,2,0
2,14,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,3,10,0
2,14,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,3,19,0
2,14,14,2,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,4,4,0
2,14,14,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,4,6,0
2,14,14,14,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,5,1,0
2,14,14,14,14,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,6,6,0
2,14,14,14,14,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,6,2,0
2,14,14,14,14,14,3,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,7,2,0
2,14,14,14,14,14,4,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1,7,1,0
