ch_col1,ch_col2,ch_col3,ch_col4,ch_col5,ch_col6,ch_col7,ch_col8,ch_col9,ch_col10,ch_col11,ch_col12,ch_col13,ch_col14,ch_col15,ch_col16,ch_col17,ch_col18,ch_col19,sumf,suml,fr,newtag
3,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,2,0
3,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,19,2,0
3,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,1,19,1,0
4,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,2,1,0
4,9,9,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,1,7,1,0
4,10,4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,3,1,0
4,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,19,1,0
4,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,1,19,1,0
4,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,19,1,0
10,1,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,1,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,1,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,2,9,9,10,10,10,4,10,10,10,10,10,10,10,10,10,10,10,2,8,1,0
10,2,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,1,0
10,2,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,1,0
10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,3,9,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,4,1,0
10,3,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,3,9,9,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,2,8,1,0
10,3,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,3,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,3,9,10,10,10,9,10,10,10,10,10,9,9,9,10,9,10,10,2,19,1,0
10,3,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,1,0
10,3,10,9,10,10,10,10,10,10,9,10,10,10,10,10,9,10,9,2,19,1,0
10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,19,3,0
10,4,10,9,10,10,10,10,10,9,9,10,9,10,10,10,10,10,10,2,19,1,0
