#
#
# US Geological Survey, Water Resources Data
# retrieved: 2024-04-11 14:11:47 EDT      (caww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 09402000 LITTLE COLORADO RIVER NEAR CAMERON, AZ
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		5312	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	09402000	00060	5312	2005	1	1215
USGS	09402000	00060	5312	2005	2	1861
USGS	09402000	00060	5312	2005	3	728.1
USGS	09402000	00060	5312	2005	4	388.4
USGS	09402000	00060	5312	2005	5	49.3
USGS	09402000	00060	5312	2005	6	0.093
USGS	09402000	00060	5312	2005	7	2.72
USGS	09402000	00060	5312	2005	8	256.9
USGS	09402000	00060	5312	2005	9	13.9
USGS	09402000	00060	5312	2005	10	18.9
USGS	09402000	00060	5312	2005	11	0
USGS	09402000	00060	5312	2005	12	0
USGS	09402000	00060	5312	2006	1	0
USGS	09402000	00060	5312	2006	2	0
USGS	09402000	00060	5312	2006	3	5.4
USGS	09402000	00060	5312	2006	4	0.051
USGS	09402000	00060	5312	2006	5	0
USGS	09402000	00060	5312	2006	6	0.569
USGS	09402000	00060	5312	2006	7	93.9
USGS	09402000	00060	5312	2006	8	964.8
USGS	09402000	00060	5312	2006	9	197.5
USGS	09402000	00060	5312	2006	10	429.6
USGS	09402000	00060	5312	2006	11	1.86
USGS	09402000	00060	5312	2006	12	0.161
USGS	09402000	00060	5312	2007	1	0.231
USGS	09402000	00060	5312	2007	2	71.2
USGS	09402000	00060	5312	2007	3	132.7
USGS	09402000	00060	5312	2007	4	13.6
USGS	09402000	00060	5312	2007	5	20
USGS	09402000	00060	5312	2007	6	0
USGS	09402000	00060	5312	2007	7	221.2
USGS	09402000	00060	5312	2007	8	877.4
USGS	09402000	00060	5312	2007	9	43.4
USGS	09402000	00060	5312	2007	10	1.51
USGS	09402000	00060	5312	2007	11	0
USGS	09402000	00060	5312	2007	12	419.9
USGS	09402000	00060	5312	2008	1	301.4
USGS	09402000	00060	5312	2008	2	1068
USGS	09402000	00060	5312	2008	3	979.4
USGS	09402000	00060	5312	2008	4	254.4
USGS	09402000	00060	5312	2008	5	0.14
USGS	09402000	00060	5312	2008	6	0
USGS	09402000	00060	5312	2008	7	150.7
USGS	09402000	00060	5312	2008	8	158.9
USGS	09402000	00060	5312	2008	9	100.1
USGS	09402000	00060	5312	2008	10	0.001
USGS	09402000	00060	5312	2008	11	2.24
USGS	09402000	00060	5312	2008	12	11.4
USGS	09402000	00060	5312	2009	1	34
USGS	09402000	00060	5312	2009	2	95.1
USGS	09402000	00060	5312	2009	3	591.2
USGS	09402000	00060	5312	2009	4	36.5
USGS	09402000	00060	5312	2009	5	65.5
USGS	09402000	00060	5312	2009	6	0.062
USGS	09402000	00060	5312	2009	7	20.3
USGS	09402000	00060	5312	2009	8	0.257
USGS	09402000	00060	5312	2009	9	35.6
USGS	09402000	00060	5312	2009	10	0.004
USGS	09402000	00060	5312	2009	11	0
USGS	09402000	00060	5312	2009	12	3.92
USGS	09402000	00060	5312	2010	1	237.3
USGS	09402000	00060	5312	2010	2	48.8
USGS	09402000	00060	5312	2010	3	595.1
USGS	09402000	00060	5312	2010	4	1088
USGS	09402000	00060	5312	2010	5	63.9
USGS	09402000	00060	5312	2010	6	0
USGS	09402000	00060	5312	2010	7	159.6
USGS	09402000	00060	5312	2010	8	963.4
USGS	09402000	00060	5312	2010	9	262.5
USGS	09402000	00060	5312	2010	10	168.2
USGS	09402000	00060	5312	2010	11	0
USGS	09402000	00060	5312	2010	12	6.44
USGS	09402000	00060	5312	2011	1	1.05
USGS	09402000	00060	5312	2011	2	8.9
USGS	09402000	00060	5312	2011	3	199.9
USGS	09402000	00060	5312	2011	4	71.8
USGS	09402000	00060	5312	2011	5	0
USGS	09402000	00060	5312	2011	6	0
USGS	09402000	00060	5312	2011	7	30.3
USGS	09402000	00060	5312	2011	8	75.5
USGS	09402000	00060	5312	2011	9	241.3
USGS	09402000	00060	5312	2011	10	18.6
USGS	09402000	00060	5312	2011	11	16.9
USGS	09402000	00060	5312	2011	12	54.4
USGS	09402000	00060	5312	2012	1	1.15
USGS	09402000	00060	5312	2012	2	0
USGS	09402000	00060	5312	2012	3	49.8
USGS	09402000	00060	5312	2012	4	29.2
USGS	09402000	00060	5312	2012	5	0
USGS	09402000	00060	5312	2012	6	0
USGS	09402000	00060	5312	2012	7	121.2
USGS	09402000	00060	5312	2012	8	445.9
USGS	09402000	00060	5312	2012	9	221.4
USGS	09402000	00060	5312	2012	10	0.102
USGS	09402000	00060	5312	2012	11	0
USGS	09402000	00060	5312	2012	12	0.033
USGS	09402000	00060	5312	2013	1	77.5
USGS	09402000	00060	5312	2013	2	131.2
USGS	09402000	00060	5312	2013	3	422.8
USGS	09402000	00060	5312	2013	4	95.4
USGS	09402000	00060	5312	2013	5	2.48
USGS	09402000	00060	5312	2013	6	0
USGS	09402000	00060	5312	2013	7	460.9
USGS	09402000	00060	5312	2013	8	331.7
USGS	09402000	00060	5312	2013	9	465.4
USGS	09402000	00060	5312	2013	10	0.019
USGS	09402000	00060	5312	2013	11	237.1
USGS	09402000	00060	5312	2013	12	3.74
USGS	09402000	00060	5312	2014	1	0
USGS	09402000	00060	5312	2014	2	0
USGS	09402000	00060	5312	2014	3	60.2
USGS	09402000	00060	5312	2014	4	0
USGS	09402000	00060	5312	2014	5	0
USGS	09402000	00060	5312	2014	6	0
USGS	09402000	00060	5312	2014	7	52
USGS	09402000	00060	5312	2014	8	102.8
USGS	09402000	00060	5312	2014	9	90.5
USGS	09402000	00060	5312	2014	10	169.4
USGS	09402000	00060	5312	2014	11	0.003
USGS	09402000	00060	5312	2014	12	80.3
USGS	09402000	00060	5312	2015	1	49.7
USGS	09402000	00060	5312	2015	2	214.7
USGS	09402000	00060	5312	2015	3	233.5
USGS	09402000	00060	5312	2015	4	0.014
USGS	09402000	00060	5312	2015	5	0.844
